Iso639,Language,Visibility,Family,Region,Primary Country,Country Code,Lat,Lon
syl,<a href='https://www.ethnologue.com/language/syl' target='_blank'>Sylheti</a>,0.3264417845484222,Indo-European,Southern Asia,Bangladesh,BD,24.9116,91.9917
bjj,<a href='https://www.ethnologue.com/language/bjj' target='_blank'>Kanauji</a>,0.35364526659412404,Indo-European,Southern Asia,India,IN,26.9665,79.2835
ayp,<a href='https://www.ethnologue.com/language/ayp' target='_blank'>North Mesopotamian Arabic</a>,0.38084874863982593,Afro-Asiatic,Western Asia,Iraq,IQ,34.5459,43.8397
bgc,<a href='https://www.ethnologue.com/language/bgc' target='_blank'>Haryanvi</a>,0.40805223068552776,Indo-European,Southern Asia,India,IN,28.9444,76.365
vec,<a href='https://www.ethnologue.com/language/vec' target='_blank'>Venetian</a>,0.4352557127312296,Indo-European,Southern Europe,Italy,IT,-28.9241,-51.0399
suk,<a href='https://www.ethnologue.com/language/suk' target='_blank'>Sukuma</a>,0.4624591947769314,Niger-Congo,Eastern Africa,Tanzania,TZ,-3.1662,33.2066
ilo,<a href='https://www.ethnologue.com/language/ilo' target='_blank'>Iloko</a>,0.48966267682263326,Austronesian,South-Eastern Asia,Philippines,PH,15.9247,120.9751
vah,<a href='https://www.ethnologue.com/language/vah' target='_blank'>Varhadi-Nagpuri</a>,0.5168661588683352,Indo-European,Southern Asia,India,IN,20.6767,76.8086
mad,<a href='https://www.ethnologue.com/language/mad' target='_blank'>Madurese</a>,0.544069640914037,Austronesian,South-Eastern Asia,Indonesia,ID,-7.5051,112.2192
kik,<a href='https://www.ethnologue.com/language/kik' target='_blank'>Kikuyu</a>,0.5712731229597389,Niger-Congo,Eastern Africa,Kenya,KE,-0.5332,36.8101
mos,<a href='https://www.ethnologue.com/language/mos' target='_blank'>Mossi</a>,0.5984766050054406,Niger-Congo,Western Africa,Burkina Faso,BF,12.7335,-1.2754
gsw,<a href='https://www.ethnologue.com/language/gsw' target='_blank'>Swiss German</a>,0.6256800870511425,Indo-European,Western Europe,Switzerland,CH,46.7832,7.9889
lua,<a href='https://www.ethnologue.com/language/lua' target='_blank'>Luba-Lulua</a>,0.6528835690968444,Niger-Congo,Middle Africa,Democratic Republic of the Congo,CD,-6.0572,21.5091
sat,<a href='https://www.ethnologue.com/language/sat' target='_blank'>Santali</a>,0.6800870511425462,Austro-Asiatic,Southern Asia,India,IN,23.7291,86.6919
nod,<a href='https://www.ethnologue.com/language/nod' target='_blank'>Northern Thai</a>,0.7072905331882481,Tai-Kadai,South-Eastern Asia,Thailand,TH,18.3471,99.7262
umb,<a href='https://www.ethnologue.com/language/umb' target='_blank'>Umbundu</a>,0.73449401523395,Niger-Congo,Middle Africa,Angola,AO,-12.2217,15.0111
hil,<a href='https://www.ethnologue.com/language/hil' target='_blank'>Hiligaynon</a>,0.7616974972796519,Austronesian,South-Eastern Asia,Philippines,PH,10.7304,123.2482
nap,<a href='https://www.ethnologue.com/language/nap' target='_blank'>Neapolitan</a>,0.7889009793253536,Indo-European,Southern Europe,Italy,IT,39.2288,16.4225
rwr,<a href='https://www.ethnologue.com/language/rwr' target='_blank'>Marwari (India)</a>,0.8161044613710555,Indo-European,Southern Asia,India,IN,26.4528,71.9518
kab,<a href='https://www.ethnologue.com/language/kab' target='_blank'>Kabyle</a>,0.8433079434167573,Afro-Asiatic,Northern Africa,Algeria,DZ,36.39,4.5578
mup,<a href='https://www.ethnologue.com/language/mup' target='_blank'>Malvi</a>,0.8705114254624592,Indo-European,Southern Asia,India,IN,23.3121,76.3726
min,<a href='https://www.ethnologue.com/language/min' target='_blank'>Minangkabau</a>,0.8977149075081612,Austronesian,South-Eastern Asia,Indonesia,ID,-0.5755,100.4827
mtr,<a href='https://www.ethnologue.com/language/mtr' target='_blank'>Mewari</a>,0.9249183895538629,Indo-European,Southern Asia,India,IN,24.9787,74.6221
bug,<a href='https://www.ethnologue.com/language/bug' target='_blank'>Buginese</a>,0.9521218715995647,Austronesian,South-Eastern Asia,Indonesia,ID,-4.1368,120.0979
kng,<a href='https://www.ethnologue.com/language/kng' target='_blank'>Koongo</a>,0.9793253536452665,Niger-Congo,Middle Africa,Democratic Republic of the Congo,CD,-6.317,14.7554
bew,<a href='https://www.ethnologue.com/language/bew' target='_blank'>Betawi</a>,1.0065288356909685,Creole,South-Eastern Asia,Indonesia,ID,-6.2169,106.951
gug,<a href='https://www.ethnologue.com/language/gug' target='_blank'>Paraguayan Guaraní</a>,1.0337323177366704,Tupian,South America,Paraguay,PY,-23.5926,-57.9459
scn,<a href='https://www.ethnologue.com/language/scn' target='_blank'>Sicilian</a>,1.060935799782372,Indo-European,Southern Europe,Italy,IT,37.5887,14.1612
sou,<a href='https://www.ethnologue.com/language/sou' target='_blank'>Southern Thai</a>,1.088139281828074,Tai-Kadai,South-Eastern Asia,Thailand,TH,8.5132,99.4441
fuc,<a href='https://www.ethnologue.com/language/fuc' target='_blank'>Pulaar</a>,1.1153427638737758,Niger-Congo,Western Africa,Senegal,SN,15.1613,-14.1848
ktu,<a href='https://www.ethnologue.com/language/ktu' target='_blank'>Kituba (Democratic Republic of Congo)</a>,1.1425462459194777,Creole,Middle Africa,Democratic Republic of the Congo,CD,-5.2647,15.3874
luo,<a href='https://www.ethnologue.com/language/luo' target='_blank'>Luo (Kenya and Tanzania)</a>,1.1697497279651796,Nilo-Saharan,Eastern Africa,Kenya,KE,-0.5373,34.6506
ewe,<a href='https://www.ethnologue.com/language/ewe' target='_blank'>Ewe</a>,1.1697497279651796,Niger-Congo,Western Africa,Ghana,GH,6.4233,0.427
lmn,<a href='https://www.ethnologue.com/language/lmn' target='_blank'>Lambadi</a>,1.2241566920565832,Indo-European,Southern Asia,India,IN,17.323,79.6199
bem,<a href='https://www.ethnologue.com/language/bem' target='_blank'>Bemba (Zambia)</a>,1.251360174102285,Niger-Congo,Eastern Africa,Zambia,ZM,-9.9765,29.9873
bam,<a href='https://www.ethnologue.com/language/bam' target='_blank'>Bambara</a>,1.278563656147987,Niger-Congo,Western Africa,Mali,ML,11.7724,-6.7631
lmo,<a href='https://www.ethnologue.com/language/lmo' target='_blank'>Lombard</a>,1.3057671381936888,Indo-European,Southern Europe,Italy,IT,46.307,8.8672
shi,<a href='https://www.ethnologue.com/language/shi' target='_blank'>Tachelhit</a>,1.3329706202393905,Afro-Asiatic,Northern Africa,Morocco,MA,30.2363,-8.1154
kam,<a href='https://www.ethnologue.com/language/kam' target='_blank'>Kamba (Kenya)</a>,1.3601741022850924,Niger-Congo,Eastern Africa,Kenya,KE,-1.4391,38.0269
mey,<a href='https://www.ethnologue.com/language/mey' target='_blank'>Hassaniyya</a>,1.3873775843307945,Afro-Asiatic,Western Africa,Mauritania,MR,17.2094,-7.6722
gom,<a href='https://www.ethnologue.com/language/gom' target='_blank'>Goan Konkani</a>,1.4145810663764962,Indo-European,Southern Asia,India,IN,14.9793,74.2847
bcc,<a href='https://www.ethnologue.com/language/bcc' target='_blank'>Southern Balochi</a>,1.441784548422198,Indo-European,Southern Asia,Pakistan,PK,26.3321,62.252
ayl,<a href='https://www.ethnologue.com/language/ayl' target='_blank'>Libyan Arabic</a>,1.4689880304679,Afro-Asiatic,Northern Africa,Libya,LY,27.4405,18.0013
emk,<a href='https://www.ethnologue.com/language/emk' target='_blank'>Eastern Maninkakan</a>,1.4961915125136016,Niger-Congo,Western Africa,Guinea,GN,11.0231,-9.3253
phr,<a href='https://www.ethnologue.com/language/phr' target='_blank'>Pahari-Potwari</a>,1.5233949945593037,Indo-European,Southern Asia,Pakistan,PK,33.7106,73.6786
ace,<a href='https://www.ethnologue.com/language/ace' target='_blank'>Achinese</a>,1.5505984766050054,Austronesian,South-Eastern Asia,Indonesia,ID,4.5112,95.8965
ban,<a href='https://www.ethnologue.com/language/ban' target='_blank'>Balinese</a>,1.5778019586507073,Austronesian,South-Eastern Asia,Indonesia,ID,-8.3547,115.1184
bhb,<a href='https://www.ethnologue.com/language/bhb' target='_blank'>Bhili</a>,1.6050054406964092,Indo-European,Southern Asia,India,IN,23.3,74.5431
shn,<a href='https://www.ethnologue.com/language/shn' target='_blank'>Shan</a>,1.632208922742111,Tai-Kadai,South-Eastern Asia,Myanmar,MM,22.0314,97.1364
sck,<a href='https://www.ethnologue.com/language/sck' target='_blank'>Sadri</a>,1.6594124047878127,Indo-European,Southern Asia,India,IN,23.7442,85.1379
knc,<a href='https://www.ethnologue.com/language/knc' target='_blank'>Central Kanuri</a>,1.6866158868335146,Nilo-Saharan,Western Africa,Nigeria,NG,12.3047,12.7752
vmw,<a href='https://www.ethnologue.com/language/vmw' target='_blank'>Makhuwa</a>,1.7138193688792165,Niger-Congo,Eastern Africa,Mozambique,MZ,-14.7971,39.0165
dje,<a href='https://www.ethnologue.com/language/dje' target='_blank'>Zarma</a>,1.7410228509249184,Nilo-Saharan,Western Africa,Niger,NE,13.7014,2.1832
bns,<a href='https://www.ethnologue.com/language/bns' target='_blank'>Bundeli</a>,1.7682263329706203,Indo-European,Southern Asia,India,IN,24.9151,79.2612
bgp,<a href='https://www.ethnologue.com/language/bgp' target='_blank'>Eastern Balochi</a>,1.7954298150163224,Indo-European,Southern Asia,Pakistan,PK,28.9072,68.7617
jam,<a href='https://www.ethnologue.com/language/jam' target='_blank'>Jamaican Creole English</a>,1.8226332970620238,Creole,Caribbean,Jamaica,JM,18.1562,-77.3107
awa,<a href='https://www.ethnologue.com/language/awa' target='_blank'>Awadhi</a>,1.8498367791077257,Indo-European,Southern Asia,India,IN,26.6232,81.297
bci,<a href='https://www.ethnologue.com/language/bci' target='_blank'>Baoulé</a>,1.8770402611534276,Niger-Congo,Western Africa,Côte d’Ivoire,CI,7.1459,-4.8721
hrx,<a href='https://www.ethnologue.com/language/hrx' target='_blank'>Hunsrik</a>,1.9042437431991295,Indo-European,South America,Brazil,BR,-29.3255,-51.7219
swv,<a href='https://www.ethnologue.com/language/swv' target='_blank'>Shekhawati</a>,1.9042437431991295,Indo-European,Southern Asia,India,IN,28.0918,75.1294
sid,<a href='https://www.ethnologue.com/language/sid' target='_blank'>Sidamo</a>,1.958650707290533,Afro-Asiatic,Eastern Africa,Ethiopia,ET,6.7348,38.3938
fuf,<a href='https://www.ethnologue.com/language/fuf' target='_blank'>Pular</a>,1.985854189336235,Niger-Congo,Western Africa,Guinea,GN,11.3821,-12.4541
gbm,<a href='https://www.ethnologue.com/language/gbm' target='_blank'>Garhwali</a>,2.013057671381937,Indo-European,Southern Asia,India,IN,30.4542,78.7118
bfy,<a href='https://www.ethnologue.com/language/bfy' target='_blank'>Bagheli</a>,2.0402611534276387,Indo-European,Southern Asia,India,IN,24.2388,80.8812
glk,<a href='https://www.ethnologue.com/language/glk' target='_blank'>Gilaki</a>,2.067464635473341,Indo-European,Southern Asia,Iran,IR,37.1353,49.8609
pcc,<a href='https://www.ethnologue.com/language/pcc' target='_blank'>Bouyei</a>,2.0946681175190425,Tai-Kadai,Eastern Asia,China,CN,25.5258,105.7086
meo,<a href='https://www.ethnologue.com/language/meo' target='_blank'>Kedah Malay</a>,2.121871599564744,Austronesian,South-Eastern Asia,Malaysia,MY,5.6001,100.6037
cpx,<a href='https://www.ethnologue.com/language/cpx' target='_blank'>Pu-Xian Chinese</a>,2.1490750816104462,Sino-Tibetan,Eastern Asia,China,CN,25.4512,118.8586
yao,<a href='https://www.ethnologue.com/language/yao' target='_blank'>Yao</a>,2.176278563656148,Niger-Congo,Eastern Africa,Malawi,MW,-12.7851,36.3891
wbr,<a href='https://www.ethnologue.com/language/wbr' target='_blank'>Wagdi</a>,2.20348204570185,Indo-European,Southern Asia,India,IN,23.6947,74.0115
bcl,<a href='https://www.ethnologue.com/language/bcl' target='_blank'>Central Bikol</a>,2.2306855277475517,Austronesian,South-Eastern Asia,Philippines,PH,13.7557,123.4033
tzm,<a href='https://www.ethnologue.com/language/tzm' target='_blank'>Central Atlas Tamazight</a>,2.2578890097932534,Afro-Asiatic,Northern Africa,Morocco,MA,32.1224,-5.0312
hoj,<a href='https://www.ethnologue.com/language/hoj' target='_blank'>Hadothi</a>,2.2850924918389555,Indo-European,Southern Asia,India,IN,24.9978,76.1999
brh,<a href='https://www.ethnologue.com/language/brh' target='_blank'>Brahui</a>,2.312295973884657,Dravidian,Southern Asia,Pakistan,PK,28.2923,66.2356
knn,<a href='https://www.ethnologue.com/language/knn' target='_blank'>Konkani (individual language)</a>,2.3394994559303592,Indo-European,Southern Asia,India,IN,19.7915,73.0385
kfy,<a href='https://www.ethnologue.com/language/kfy' target='_blank'>Kumaoni</a>,2.366702937976061,Indo-European,Southern Asia,India,IN,29.8072,79.8086
nyn,<a href='https://www.ethnologue.com/language/nyn' target='_blank'>Nyankole</a>,2.3939064200217626,Niger-Congo,Eastern Africa,Uganda,UG,-0.4706,30.5532
quc,<a href='https://www.ethnologue.com/language/quc' target='_blank'>K'iche'</a>,2.3939064200217626,Mayan,Central America,Guatemala,GT,14.9795,-91.2398
mzn,<a href='https://www.ethnologue.com/language/mzn' target='_blank'>Mazanderani</a>,2.4483133841131663,Indo-European,Southern Asia,Iran,IR,36.3762,52.5433
lon,<a href='https://www.ethnologue.com/language/lon' target='_blank'>Malawi Lomwe</a>,2.4755168661588685,Niger-Congo,Eastern Africa,Malawi,MW,-15.698,35.4806
dgo,<a href='https://www.ethnologue.com/language/dgo' target='_blank'>Dogri (individual language)</a>,2.50272034820457,Indo-European,Southern Asia,India,IN,32.5937,75.6908
tiv,<a href='https://www.ethnologue.com/language/tiv' target='_blank'>Tiv</a>,2.529923830250272,Niger-Congo,Western Africa,Nigeria,NG,7.2983,8.908
guz,<a href='https://www.ethnologue.com/language/guz' target='_blank'>Gusii</a>,2.557127312295974,Niger-Congo,Eastern Africa,Kenya,KE,-0.8117,34.7897
dyu,<a href='https://www.ethnologue.com/language/dyu' target='_blank'>Dyula</a>,2.5843307943416756,Niger-Congo,Western Africa,Côte d’Ivoire,CI,9.3789,-4.4469
noe,<a href='https://www.ethnologue.com/language/noe' target='_blank'>Nimadi</a>,2.6115342763873777,Indo-European,Southern Asia,India,IN,21.9086,75.5143
mak,<a href='https://www.ethnologue.com/language/mak' target='_blank'>Makasar</a>,2.63873775843308,Austronesian,South-Eastern Asia,Indonesia,ID,-5.1633,119.5942
sas,<a href='https://www.ethnologue.com/language/sas' target='_blank'>Sasak</a>,2.665941240478781,Austronesian,South-Eastern Asia,Indonesia,ID,-8.582,116.3498
xog,<a href='https://www.ethnologue.com/language/xog' target='_blank'>Soga</a>,2.693144722524483,Niger-Congo,Eastern Africa,Uganda,UG,0.806,33.4121
snk,<a href='https://www.ethnologue.com/language/snk' target='_blank'>Soninke</a>,2.720348204570185,Niger-Congo,Western Africa,Mali,ML,14.9361,-9.8635
bgn,<a href='https://www.ethnologue.com/language/bgn' target='_blank'>Western Balochi</a>,2.747551686615887,Indo-European,Southern Asia,Pakistan,PK,28.7208,63.1917
sxu,<a href='https://www.ethnologue.com/language/sxu' target='_blank'>Upper Saxon</a>,2.774755168661589,Indo-European,Western Europe,Germany,DE,51.152,12.692
bbc,<a href='https://www.ethnologue.com/language/bbc' target='_blank'>Batak Toba</a>,2.774755168661589,Austronesian,South-Eastern Asia,Indonesia,ID,2.5249,99.5867
iii,<a href='https://www.ethnologue.com/language/iii' target='_blank'>Sichuan Yi</a>,2.774755168661589,Sino-Tibetan,Eastern Asia,China,CN,28.0869,102.9105
zyb,<a href='https://www.ethnologue.com/language/zyb' target='_blank'>Yongbei Zhuang</a>,2.856365614798694,Tai-Kadai,Eastern Asia,China,CN,23.1612,108.2742
gno,<a href='https://www.ethnologue.com/language/gno' target='_blank'>Northern Gondi</a>,2.883569096844396,Dravidian,Southern Asia,India,IN,22.4744,80.2809
gog,<a href='https://www.ethnologue.com/language/gog' target='_blank'>Gogo</a>,2.910772578890098,Niger-Congo,Eastern Africa,Tanzania,TZ,-6.2429,35.6428
sgc,<a href='https://www.ethnologue.com/language/sgc' target='_blank'>Kipsigis</a>,2.9379760609358,Nilo-Saharan,Eastern Africa,Kenya,KE,-0.5482,35.3841
teo,<a href='https://www.ethnologue.com/language/teo' target='_blank'>Teso</a>,2.9651795429815015,Nilo-Saharan,Eastern Africa,Uganda,UG,1.7309,33.7572
pam,<a href='https://www.ethnologue.com/language/pam' target='_blank'>Pampanga</a>,2.992383025027203,Austronesian,South-Eastern Asia,Philippines,PH,15.3912,120.3393
hno,<a href='https://www.ethnologue.com/language/hno' target='_blank'>Northern Hindko</a>,3.0195865070729053,Indo-European,Southern Asia,Pakistan,PK,34.1733,73.0942
dhd,<a href='https://www.ethnologue.com/language/dhd' target='_blank'>Dhundari</a>,3.0467899891186074,Indo-European,Southern Asia,India,IN,26.6714,75.8411
men,<a href='https://www.ethnologue.com/language/men' target='_blank'>Mende (Sierra Leone)</a>,3.073993471164309,Niger-Congo,Western Africa,Sierra Leone,SL,7.857,-11.5723
zzj,<a href='https://www.ethnologue.com/language/zzj' target='_blank'>Zuojiang Zhuang</a>,3.1011969532100108,Tai-Kadai,Eastern Asia,China,CN,22.3484,106.8541
aln,<a href='https://www.ethnologue.com/language/aln' target='_blank'>Gheg Albanian</a>,3.1284004352557124,Indo-European,Southern Europe,Albania,AL,42.0452,20.4354
zyn,<a href='https://www.ethnologue.com/language/zyn' target='_blank'>Yongnan Zhuang</a>,3.1556039173014145,Tai-Kadai,Eastern Asia,China,CN,22.6358,107.9093
wti,<a href='https://www.ethnologue.com/language/wti' target='_blank'>Berta</a>,3.1556039173014145,Nilo-Saharan,Eastern Africa,Ethiopia,ET,10.4807,34.7717
avl,<a href='https://www.ethnologue.com/language/avl' target='_blank'>Eastern Egyptian Bedawi Arabic</a>,3.2100108813928183,Afro-Asiatic,Northern Africa,Egypt,EG,31.2404,36.1783
kru,<a href='https://www.ethnologue.com/language/kru' target='_blank'>Kurukh</a>,3.2372143634385204,Dravidian,Southern Asia,India,IN,22.3149,83.258
adx,<a href='https://www.ethnologue.com/language/adx' target='_blank'>Amdo Tibetan</a>,3.264417845484222,Sino-Tibetan,Eastern Asia,China,CN,34.7339,100.4574
hay,<a href='https://www.ethnologue.com/language/hay' target='_blank'>Haya</a>,3.291621327529924,Niger-Congo,Eastern Africa,Tanzania,TZ,-1.6007,31.5194
mlq,<a href='https://www.ethnologue.com/language/mlq' target='_blank'>Western Maninkakan</a>,3.3188248095756254,Niger-Congo,Western Africa,Senegal,SN,13.3542,-11.9358
tcy,<a href='https://www.ethnologue.com/language/tcy' target='_blank'>Tulu</a>,3.346028291621327,Dravidian,Southern Asia,India,IN,13.0254,75.1783
wal,<a href='https://www.ethnologue.com/language/wal' target='_blank'>Wolaytta</a>,3.373231773667029,Afro-Asiatic,Eastern Africa,Ethiopia,ET,6.7251,37.6726
rhg,<a href='https://www.ethnologue.com/language/rhg' target='_blank'>Rohingya</a>,3.4004352557127313,Indo-European,South-Eastern Asia,Myanmar,MM,21.1541,92.3957
xnr,<a href='https://www.ethnologue.com/language/xnr' target='_blank'>Kangri</a>,3.4004352557127313,Indo-European,Southern Asia,India,IN,31.9165,76.2597
kmb,<a href='https://www.ethnologue.com/language/kmb' target='_blank'>Kimbundu</a>,3.4004352557127313,Niger-Congo,Middle Africa,Angola,AO,-8.8674,14.8872
mww,<a href='https://www.ethnologue.com/language/mww' target='_blank'>Hmong Daw</a>,3.4820457018498367,Hmong-Mien,Eastern Asia,China,CN,26.8616,104.8721
kde,<a href='https://www.ethnologue.com/language/kde' target='_blank'>Makonde</a>,3.509249183895539,Niger-Congo,Eastern Africa,Tanzania,TZ,-11.1779,39.5309
ngl,<a href='https://www.ethnologue.com/language/ngl' target='_blank'>Lomwe</a>,3.5364526659412405,Niger-Congo,Eastern Africa,Mozambique,MZ,-15.6777,37.1624
mer,<a href='https://www.ethnologue.com/language/mer' target='_blank'>Meru</a>,3.5364526659412405,Niger-Congo,Eastern Africa,Kenya,KE,0.2735,37.7063
fuh,<a href='https://www.ethnologue.com/language/fuh' target='_blank'>Western Niger Fulfulde</a>,3.5908596300326447,Niger-Congo,Western Africa,Niger,NE,13.7793,2.2967
lgg,<a href='https://www.ethnologue.com/language/lgg' target='_blank'>Lugbara</a>,3.618063112078346,Nilo-Saharan,Eastern Africa,Uganda,UG,3.0647,30.8845
tyz,<a href='https://www.ethnologue.com/language/tyz' target='_blank'>Tày</a>,3.6452665941240476,Tai-Kadai,South-Eastern Asia,Viet Nam,VN,22.0525,105.8393
kbd,<a href='https://www.ethnologue.com/language/kbd' target='_blank'>Kabardian</a>,3.6724700761697497,North Caucasian,Eastern Europe,Russian Federation,RU,43.5082,43.3918
xmw,<a href='https://www.ethnologue.com/language/xmw' target='_blank'>Tsimihety Malagasy</a>,3.6996735582154514,Austronesian,Eastern Africa,Madagascar,MG,-15.4995,48.2405
pms,<a href='https://www.ethnologue.com/language/pms' target='_blank'>Piemontese</a>,3.7268770402611535,Indo-European,Southern Europe,Italy,IT,45.4633,8.3237
pse,<a href='https://www.ethnologue.com/language/pse' target='_blank'>Central Malay</a>,3.754080522306855,Austronesian,South-Eastern Asia,Indonesia,ID,-3.9813,103.4785
cgg,<a href='https://www.ethnologue.com/language/cgg' target='_blank'>Chiga</a>,3.7812840043525573,Niger-Congo,Eastern Africa,Uganda,UG,-0.953,29.8699
nde,<a href='https://www.ethnologue.com/language/nde' target='_blank'>North Ndebele</a>,3.808487486398259,Niger-Congo,Eastern Africa,Zimbabwe,ZW,-19.7077,28.6847
shu,<a href='https://www.ethnologue.com/language/shu' target='_blank'>Chadian Arabic</a>,3.835690968443961,Afro-Asiatic,Middle Africa,Chad,TD,14.4017,19.1931
zlj,<a href='https://www.ethnologue.com/language/zlj' target='_blank'>Liujiang Zhuang</a>,3.862894450489663,Tai-Kadai,Eastern Asia,China,CN,24.2604,109.32470000000001
tum,<a href='https://www.ethnologue.com/language/tum' target='_blank'>Tumbuka</a>,3.8900979325353644,Niger-Congo,Eastern Africa,Malawi,MW,-11.3004,32.8155
lub,<a href='https://www.ethnologue.com/language/lub' target='_blank'>Luba-Katanga</a>,3.917301414581066,Niger-Congo,Middle Africa,Democratic Republic of the Congo,CD,-8.2597,25.6647
lrc,<a href='https://www.ethnologue.com/language/lrc' target='_blank'>Northern Luri</a>,3.944504896626768,Indo-European,Southern Asia,Iran,IR,32.8426,48.0145
diq,<a href='https://www.ethnologue.com/language/diq' target='_blank'>Dimli (individual language)</a>,3.944504896626768,Indo-European,Western Asia,Turkey,TR,38.6149,39.649
ymm,<a href='https://www.ethnologue.com/language/ymm' target='_blank'>Maay</a>,3.944504896626768,Afro-Asiatic,Eastern Africa,Somalia,SO,3.2229,43.6182
quz,<a href='https://www.ethnologue.com/language/quz' target='_blank'>Cusco Quechua</a>,3.944504896626768,Quechuan,South America,Peru,PE,-14.0476,-71.7234
tem,<a href='https://www.ethnologue.com/language/tem' target='_blank'>Timne</a>,3.944504896626768,Niger-Congo,Western Africa,Sierra Leone,SL,8.7403,-12.4472
ibb,<a href='https://www.ethnologue.com/language/ibb' target='_blank'>Ibibio</a>,3.944504896626768,Niger-Congo,Western Africa,Nigeria,NG,5.1269,7.8451
laj,<a href='https://www.ethnologue.com/language/laj' target='_blank'>Lango (Uganda)</a>,4.1077257889009795,Nilo-Saharan,Eastern Africa,Uganda,UG,2.1246,32.9038
che,<a href='https://www.ethnologue.com/language/che' target='_blank'>Chechen</a>,4.134929270946682,North Caucasian,Eastern Europe,Russian Federation,RU,43.2639,45.6564
mni,<a href='https://www.ethnologue.com/language/mni' target='_blank'>Manipuri</a>,4.162132752992384,Sino-Tibetan,Southern Asia,India,IN,24.824,93.6893
sgw,<a href='https://www.ethnologue.com/language/sgw' target='_blank'>Sebat Bet Gurage</a>,4.189336235038085,Afro-Asiatic,Eastern Africa,Ethiopia,ET,8.1421,38.0154
ksw,<a href='https://www.ethnologue.com/language/ksw' target='_blank'>S'gaw Karen</a>,4.189336235038085,Sino-Tibetan,South-Eastern Asia,Myanmar,MM,18.2899,97.0644
rif,<a href='https://www.ethnologue.com/language/rif' target='_blank'>Tarifit</a>,4.243743199129488,Afro-Asiatic,Northern Africa,Morocco,MA,34.8422,-3.1973
toi,<a href='https://www.ethnologue.com/language/toi' target='_blank'>Tonga (Zambia)</a>,4.27094668117519,Niger-Congo,Eastern Africa,Zambia,ZM,-17.0985,26.9844
mas,<a href='https://www.ethnologue.com/language/mas' target='_blank'>Masai</a>,4.2981501632208925,Nilo-Saharan,Eastern Africa,Kenya,KE,-3.2968,36.3524
dnj,<a href='https://www.ethnologue.com/language/dnj' target='_blank'>Dan</a>,4.325353645266594,Niger-Congo,Western Africa,Côte d’Ivoire,CI,7.4278,-7.8896
bxk,<a href='https://www.ethnologue.com/language/bxk' target='_blank'>Bukusu</a>,4.352557127312296,Niger-Congo,Eastern Africa,Kenya,KE,0.6287,34.5608
srr,<a href='https://www.ethnologue.com/language/srr' target='_blank'>Serer</a>,4.379760609357998,Niger-Congo,Western Africa,Senegal,SN,14.0274,-16.0492
shy,<a href='https://www.ethnologue.com/language/shy' target='_blank'>Tachawit</a>,4.4069640914037,Afro-Asiatic,Northern Africa,Algeria,DZ,35.276,6.9369
anw,<a href='https://www.ethnologue.com/language/anw' target='_blank'>Anaang</a>,4.4069640914037,Niger-Congo,Western Africa,Nigeria,NG,4.9151,7.5815
cqd,<a href='https://www.ethnologue.com/language/cqd' target='_blank'>Chuanqiandian Cluster Miao</a>,4.4069640914037,Hmong-Mien,Eastern Asia,China,CN,27.5338,105.4152
kxm,<a href='https://www.ethnologue.com/language/kxm' target='_blank'>Northern Khmer</a>,4.4069640914037,Austro-Asiatic,South-Eastern Asia,Thailand,TH,14.8812,103.3003
